"module","pathway_id","pathway_name","fish_Pvalue","reg_coeff","GenesInPathway","Go_Reactome_root_id","Go_Reactome_root_names","step2root"
"PPI-STRING_Consensus_mod66","GO:0004095","carnitine O-palmitoyltransferase activity","5.59e-10","5.82e-01",4,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod66","R-HSA-1369062","ABC transporters in lipid homeostasis","9.05e-05","5.60e-04",18,"R-HSA-382551","Transport of small molecules",2
"PPI-STRING_Consensus_mod66","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","2.37e-07","1.62e-02",28,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod66","R-HSA-156587","Amino Acid conjugation","1.02e-12","1.19e-01",9,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-389887","Beta-oxidation of pristanoyl-CoA","3.27e-10","3.08e-03",9,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod66","R-HSA-196780","Biotin transport and metabolism","5.56e-12","8.24e-02",11,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-163765","ChREBP activates metabolic gene expression","6.43e-06","4.96e-02",8,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod66","R-HSA-159424","Conjugation of carboxylic acids","1.02e-12","1.16e-01",9,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod66","R-HSA-177162","Conjugation of phenylacetate with glutamine","2.42e-05","1.38e-02",2,"R-HSA-1430728","Metabolism",5
"PPI-STRING_Consensus_mod66","R-HSA-3371599","Defective HLCS causes multiple carboxylase deficiency","1.57e-11","1.52e-01",6,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod66","R-HSA-3359475","Defective MMAA causes methylmalonic aciduria type cblA","2.42e-05","6.94e-02",2,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod66","R-HSA-3323169","Defects in biotin (Btn) metabolism","1.57e-11","1.51e-01",6,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod66","R-HSA-71384","Ethanol oxidation","1.55e-03","2.98e-03",12,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-8978868","Fatty acid metabolism","8.45e-67","5.12e-02",173,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod66","R-HSA-75105","Fatty acyl-CoA biosynthesis","8.62e-22","5.96e-02",36,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-74182","Ketone body metabolism","2.54e-12","3.29e-01",10,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod66","R-HSA-6806664","Metabolism of vitamin K","1.48e-02","2.89e-02",3,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-77289","Mitochondrial Fatty Acid Beta-Oxidation","3.44e-28","2.74e-02",37,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-71032","Propionyl-CoA catabolism","2.63e-12","4.78e-01",5,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod66","R-HSA-77111","Synthesis of Ketone Bodies","1.46e-10","4.68e-02",8,"R-HSA-1430728","Metabolism",3
"PPI-STRING_Consensus_mod66","R-HSA-9033500","TYSND1 cleaves peroxisomal proteins","1.93e-08","1.69e-01",7,"R-HSA-392499","Metabolism of proteins",2
"PPI-STRING_Consensus_mod67","GO:0036459","thiol-dependent ubiquitinyl hydrolase activity","8.92e-14","6.12e-02",89,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod67","GO:0035331","negative regulation of hippo signaling","4.77e-04","5.90e-02",8,"GO:0065007","biological regulation",7
"PPI-STRING_Consensus_mod67","GO:0004180","carboxypeptidase activity","3.80e-05","4.71e-02",16,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod67","GO:0032570","response to progesterone","1.20e-05","2.20e-02",34,"GO:0050896","response to stimulus",4
"PPI-STRING_Consensus_mod67","GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway","7.63e-04","2.46e-02",10,"GO:0065007","biological regulation",7
"PPI-STRING_Consensus_mod67","GO:0045732","positive regulation of protein catabolic process","7.72e-10","2.58e-02",74,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod67","GO:0006826","iron ion transport","1.11e-03","1.24e-02",12,"GO:0051179","localization",5
"PPI-STRING_Consensus_mod67","GO:1990763","arrestin family protein binding","7.63e-04","1.32e-02",10,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod67","GO:0016805","dipeptidase activity","7.63e-04","1.69e-02",10,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod67","GO:0050699","WW domain binding","1.75e-07","6.01e-02",31,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod67","GO:2000650","negative regulation of sodium ion transmembrane transporter activity","5.83e-06","1.17e-01",9,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod67","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","7.76e-15","1.54e-02",309,"R-HSA-168256","Immune System",3
"PPI-STRING_Consensus_mod67","R-HSA-1253288","Downregulation of ERBB4 signaling","3.90e-06","1.40e-01",8,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod68","GO:0017147","Wnt-protein binding","4.87e-38","5.37e-02",37,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod68","GO:0042813","Wnt-activated receptor activity","5.42e-34","1.91e-01",22,"GO:0060089","molecular transducer activity",4
"PPI-STRING_Consensus_mod68","GO:0048018","receptor ligand activity","8.49e-29","6.04e-03",29,"GO:0005488#GO:0098772","binding#molecular function regulator",3
"PPI-STRING_Consensus_mod68","GO:0060070","canonical Wnt signaling pathway","3.76e-62","5.73e-03",90,"GO:0009987#GO:0065007","cellular process#biological regulation",5
"PPI-STRING_Consensus_mod68","GO:0005109","frizzled binding","7.08e-52","1.14e-01",41,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod68","GO:0030182","neuron differentiation","2.61e-48","2.30e-02",108,"GO:0009987#GO:0032502","cellular process#developmental process",4
"PPI-STRING_Consensus_mod68","GO:0035567","non-canonical Wnt signaling pathway","3.71e-37","1.85e-01",22,"GO:0009987#GO:0065007","cellular process#biological regulation",5
"PPI-STRING_Consensus_mod68","GO:1904948","midbrain dopaminergic neuron differentiation","5.66e-10","4.02e-02",7,"GO:0009987#GO:0032502","cellular process#developmental process",6
"PPI-STRING_Consensus_mod68","GO:0045165","cell fate commitment","2.98e-35","2.54e-02",50,"GO:0009987#GO:0032502","cellular process#developmental process",3
"PPI-STRING_Consensus_mod68","R-HSA-373080","Class B/2 (Secretin family receptors)","1.04e-47","1.60e-02",91,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod68","R-HSA-3772470","Negative regulation of TCF-dependent signaling by WNT ligand antagonists","1.23e-24","2.07e-01",15,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod68","R-HSA-5340588","RNF mutants show enhanced WNT signaling and proliferation","7.63e-19","2.17e-01",8,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod68","R-HSA-3238698","WNT ligand biogenesis and trafficking","1.65e-45","3.77e-01",25,"R-HSA-162582","Signal Transduction",2
"PPI-STRING_Consensus_mod69","GO:0032051","clathrin light chain binding","3.57e-04","3.75e-02",9,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod69","GO:0035615","clathrin adaptor activity","5.44e-04","1.18e-02",11,"GO:0005488#GO:0038024","binding#cargo receptor activity",3
"PPI-STRING_Consensus_mod69","GO:0016262","protein N-acetylglucosaminyltransferase activity","3.01e-05","3.39e-01",3,"GO:0003824","catalytic activity",3
"PPI-STRING_Consensus_mod69","GO:0097361","CIA complex","1.00e-04","1.53e-01",5,"GO:0032991#GO:0044464","protein-containing complex#cell part",2
"PPI-STRING_Consensus_mod69","GO:0030479","actin cortical patch","5.44e-04","1.18e-02",11,"GO:0044422#GO:0044464","organelle part#cell part",4
"PPI-STRING_Consensus_mod69","R-HSA-351906","Apoptotic cleavage of cell adhesion  proteins","5.44e-04","2.02e-02",11,"R-HSA-5357801","Programmed Cell Death",4
"PPI-STRING_Consensus_mod70","GO:0007189","adenylate cyclase-activating G-protein coupled receptor signaling pathway","1.98e-49","8.37e-02",100,"GO:0009987#GO:0065007","cellular process#biological regulation",5
"PPI-STRING_Consensus_mod70","GO:0043950","positive regulation of cAMP-mediated signaling","1.60e-14","9.58e-02",17,"GO:0065007","biological regulation",7
"PPI-STRING_Consensus_mod70","GO:0008528","G-protein coupled peptide receptor activity","8.24e-25","6.72e-02",39,"GO:0060089","molecular transducer activity",4
"PPI-STRING_Consensus_mod70","GO:0017046","peptide hormone binding","3.79e-22","6.62e-02",41,"GO:0005488","binding",3
"PPI-STRING_Consensus_mod70","GO:0051428","peptide hormone receptor binding","3.43e-11","1.72e-01",10,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod70","GO:0007187","G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","8.16e-26","9.19e-02",65,"GO:0009987#GO:0065007","cellular process#biological regulation",4
"PPI-STRING_Consensus_mod70","GO:0007190","activation of adenylate cyclase activity","9.91e-29","1.57e-01",32,"GO:0065007","biological regulation",4
"PPI-STRING_Consensus_mod70","GO:0001963","synaptic transmission, dopaminergic","5.26e-08","4.30e-02",14,"GO:0009987#GO:0023052","cellular process#signaling",7
"PPI-STRING_Consensus_mod70","R-HSA-417973","Adenosine P1 receptors","4.57e-05","6.43e-02",4,"R-HSA-162582","Signal Transduction",5
"PPI-STRING_Consensus_mod70","R-HSA-375280","Amine ligand-binding receptors","2.47e-15","3.55e-02",43,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod70","R-HSA-419812","Calcitonin-like ligand receptors","3.43e-11","1.11e-01",10,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod70","R-HSA-373080","Class B/2 (Secretin family receptors)","2.55e-43","8.25e-02",91,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod70","R-HSA-5579031","Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)","5.58e-03","1.63e-02",2,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod70","R-HSA-418555","G alpha (s) signalling events","5.32e-73","2.39e-02",559,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod70","R-HSA-500792","GPCR ligand binding","1.66e-77","2.63e-03",455,"R-HSA-162582","Signal Transduction",2
"PPI-STRING_Consensus_mod70","R-HSA-420092","Glucagon-type ligand receptors","1.73e-23","6.46e-02",33,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod70","R-HSA-187024","NGF-independant TRKA activation","2.04e-07","9.93e-02",5,"R-HSA-162582","Signal Transduction",5
"PPI-STRING_Consensus_mod70","R-HSA-391908","Prostanoid ligand receptors","6.69e-09","1.63e-01",9,"R-HSA-162582","Signal Transduction",5
"PPI-STRING_Consensus_mod71","GO:0006470","protein dephosphorylation","4.66e-23","4.63e-03",147,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod71","GO:0010923","negative regulation of phosphatase activity","1.39e-10","5.55e-02",50,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod71","GO:0019902","phosphatase binding","3.60e-07","7.69e-03",49,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod71","GO:0004722","protein serine/threonine phosphatase activity","3.30e-21","1.27e-02",63,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod71","GO:0032515","negative regulation of phosphoprotein phosphatase activity","1.65e-12","1.72e-02",49,"GO:0065007","biological regulation",7
"PPI-STRING_Consensus_mod71","GO:0019888","protein phosphatase regulator activity","3.48e-38","2.52e-01",34,"GO:0098772","molecular function regulator",4
"PPI-STRING_Consensus_mod71","GO:0000159","protein phosphatase type 2A complex","2.51e-31","2.83e-01",22,"GO:0032991#GO:0044464","protein-containing complex#cell part",3
"PPI-STRING_Consensus_mod71","GO:0000164","protein phosphatase type 1 complex","5.20e-11","1.87e-01",10,"GO:0032991#GO:0044464","protein-containing complex#cell part",3
"PPI-STRING_Consensus_mod71","GO:0007077","mitotic nuclear envelope disassembly","5.82e-04","1.08e-02",12,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod71","GO:0010867","positive regulation of triglyceride biosynthetic process","5.82e-04","9.24e-03",12,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod71","GO:0070262","peptidyl-serine dephosphorylation","1.20e-15","7.16e-02",12,"GO:0008152#GO:0009987","metabolic process#cellular process",6
"PPI-STRING_Consensus_mod71","R-HSA-4839748","AMER1 mutants destabilize the destruction complex","1.19e-17","6.82e-03",14,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod71","R-HSA-5467337","APC truncation mutants have impaired AXIN binding","1.19e-17","1.11e-02",14,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod71","R-HSA-5467340","AXIN missense mutants destabilize the destruction complex","1.19e-17","1.67e-02",14,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod71","R-HSA-4839735","AXIN mutants destabilize the destruction complex, activating WNT signaling","1.19e-17","2.01e-02",14,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod71","R-HSA-432142","Platelet sensitization by LDL","9.56e-17","2.54e-02",17,"R-HSA-109582","Hemostasis",2
"PPI-STRING_Consensus_mod71","R-HSA-5467348","Truncations of AMER1 destabilize the destruction complex","1.19e-17","1.58e-02",14,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod71","R-HSA-4839744","truncated APC mutants destabilize the destruction complex","1.19e-17","1.15e-02",14,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod72","GO:0000776","kinetochore","1.29e-29","3.16e-02",84,"GO:0032991#GO:0043226#GO:0044422#GO:0044464","protein-containing complex#organelle#organelle part#cell part",2
"PPI-STRING_Consensus_mod72","GO:0000055","ribosomal large subunit export from nucleus","2.47e-04","2.12e-04",10,"GO:0051179","localization",5
"PPI-STRING_Consensus_mod72","GO:0007094","mitotic spindle assembly checkpoint","1.19e-09","3.82e-02",21,"GO:0009987#GO:0065007","cellular process#biological regulation",5
"PPI-STRING_Consensus_mod72","GO:0000940","condensed chromosome outer kinetochore","3.49e-09","1.05e-01",9,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod72","GO:0031080","nuclear pore outer ring","2.28e-20","4.24e-01",10,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",2
"PPI-STRING_Consensus_mod72","R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","2.77e-40","4.15e-02",94,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod72","R-HSA-141424","Amplification of signal from the kinetochores","2.77e-40","4.18e-02",94,"R-HSA-1640170","Cell Cycle",3
"PPI-STRING_Consensus_mod72","R-HSA-2470946","Cohesin Loading onto Chromatin","5.81e-09","2.03e-01",10,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod72","R-HSA-141430","Inactivation of APC/C via direct inhibition of the APC/C complex","1.32e-07","2.30e-02",20,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod72","R-HSA-141405","Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components","1.32e-07","1.91e-02",20,"R-HSA-1640170","Cell Cycle",3
"PPI-STRING_Consensus_mod72","R-HSA-177243","Interactions of Rev with host cellular proteins","4.45e-19","5.23e-02",36,"R-HSA-1643685","Disease",4
"PPI-STRING_Consensus_mod72","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","1.02e-43","1.46e-02",107,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod73","GO:0000045","autophagosome assembly","1.64e-59","1.66e-01",54,"GO:0009987#GO:0071840","cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod73","GO:0000421","autophagosome membrane","3.55e-22","4.83e-03",29,"GO:0016020#GO:0044422#GO:0044464","membrane#organelle part#cell part",4
"PPI-STRING_Consensus_mod73","GO:0006914","autophagy","1.61e-28","8.45e-03",112,"GO:0008152#GO:0009987","metabolic process#cellular process",3
"PPI-STRING_Consensus_mod73","GO:0000422","autophagy of mitochondrion","2.92e-50","2.23e-01",37,"GO:0008152#GO:0009987#GO:0071840","metabolic process#cellular process#cellular component organization or biogenesis",4
"PPI-STRING_Consensus_mod73","GO:0000407","phagophore assembly site","1.33e-26","8.95e-02",22,"GO:0044464","cell part",4
"PPI-STRING_Consensus_mod73","GO:1990316","Atg1/ULK1 kinase complex","6.38e-15","3.37e-01",8,"GO:0032991#GO:0044464","protein-containing complex#cell part",4
"PPI-STRING_Consensus_mod73","GO:0034045","phagophore assembly site membrane","4.11e-23","6.34e-02",16,"GO:0016020#GO:0044464","membrane#cell part",3
"PPI-STRING_Consensus_mod73","GO:0006995","cellular response to nitrogen starvation","1.48e-24","1.57e-01",13,"GO:0009987#GO:0050896","cellular process#response to stimulus",5
"PPI-STRING_Consensus_mod73","R-HSA-1632852","Macroautophagy","3.97e-45","8.33e-02",55,"R-HSA-8953897","Cellular responses to external stimuli",1
"PPI-STRING_Consensus_mod73","R-HSA-8934903","Receptor Mediated Mitophagy","1.05e-13","6.55e-02",11,"R-HSA-5205647","Mitophagy",1
"PPI-STRING_Consensus_mod74","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","8.06e-141","3.86e-01",165,"GO:0022610","biological adhesion",5
"PPI-STRING_Consensus_mod74","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules"," 2.64e-30","2.02e-02",46,"GO:0022610","biological adhesion",5
"PPI-STRING_Consensus_mod75","GO:0032454","histone demethylase activity (H3-K9 specific)","2.32e-07","1.10e-01",14,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod75","GO:0033169","histone H3-K9 demethylation","3.15e-07","9.49e-03",15,"GO:0008152#GO:0009987#GO:0071840","metabolic process#cellular process#cellular component organization or biogenesis",6
"PPI-STRING_Consensus_mod75","GO:0008536","Ran GTPase binding","1.01e-05","2.33e-02",34,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod75","GO:0001678","cellular glucose homeostasis","2.19e-05","4.93e-02",14,"GO:0009987#GO:0065007","cellular process#biological regulation",4
"PPI-STRING_Consensus_mod75","GO:0018107","peptidyl-threonine phosphorylation","1.91e-07","2.23e-02",63,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod75","GO:0051864","histone demethylase activity (H3-K36 specific)","1.00e-05","3.38e-02",11,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod75","GO:0003215","cardiac right ventricle morphogenesis","1.21e-03","5.35e-03",13,"GO:0032502","developmental process",5
"PPI-STRING_Consensus_mod75","GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","1.95e-05","1.32e-02",40,"GO:0008152#GO:0009987","metabolic process#cellular process",6
"PPI-STRING_Consensus_mod75","R-HSA-198693","AKT phosphorylates targets in the nucleus","5.12e-06","1.34e-01",9,"R-HSA-162582","Signal Transduction",3
"PPI-STRING_Consensus_mod75","R-HSA-5619107","Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)","8.02e-03","9.05e-02",2,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod75","R-HSA-210745","Regulation of gene expression in beta cells","2.19e-05","1.37e-02",14,"R-HSA-1266738","Developmental Biology",2
"PPI-STRING_Consensus_mod76","GO:0006486","protein glycosylation","4.17e-35","3.87e-02",87,"GO:0008152#GO:0009987","metabolic process#cellular process",4
"PPI-STRING_Consensus_mod76","GO:0036065","fucosylation","6.64e-23","1.67e-01",11,"GO:0008152","metabolic process",3
"PPI-STRING_Consensus_mod76","GO:0003831","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity","7.46e-11","2.51e-01",8,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod76","GO:0008499","UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity","4.15e-07","2.07e-03",14,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod76","GO:0009312","oligosaccharide biosynthetic process","1.86e-12","1.18e-01",14,"GO:0008152","metabolic process",5
"PPI-STRING_Consensus_mod76","GO:0008417","fucosyltransferase activity","3.62e-24","4.64e-01",9,"GO:0003824","catalytic activity",4
"PPI-STRING_Consensus_mod77","GO:0000786","nucleosome","1.39e-64","9.86e-02",68,"GO:0032991#GO:0044422#GO:0044464","protein-containing complex#organelle part#cell part",3
"PPI-STRING_Consensus_mod77","R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","4.77e-53","4.88e-02",36,"R-HSA-162582","Signal Transduction",4
"PPI-STRING_Consensus_mod77","R-HSA-2299718","Condensation of Prophase Chromosomes","8.98e-51","4.58e-03",43,"R-HSA-1640170","Cell Cycle",4
"PPI-STRING_Consensus_mod77","R-HSA-5334118","DNA methylation","7.95e-54","8.94e-02",34,"R-HSA-74160","Gene expression (Transcription)",2
"PPI-STRING_Consensus_mod77","R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","4.42e-48","1.12e-02",54,"R-HSA-1640170","Cell Cycle",3
"PPI-STRING_Consensus_mod77","R-HSA-3214847","HATs acetylate histones","5.39e-49","2.37e-02",108,"R-HSA-4839726","Chromatin organization",2
"PPI-STRING_Consensus_mod77","R-HSA-3214815","HDACs deacetylate histones","3.07e-56","1.07e-01",60,"R-HSA-4839726","Chromatin organization",2
"PPI-STRING_Consensus_mod77","R-HSA-5689901","Metalloprotease DUBs","4.73e-24","9.23e-02",31,"R-HSA-392499","Metabolism of proteins",3
"PPI-STRING_Consensus_mod77","R-HSA-774815","Nucleosome assembly","4.42e-48","1.21e-02",54,"R-HSA-1640170","Cell Cycle",2
"PPI-STRING_Consensus_mod77","R-HSA-171306","Packaging Of Telomere Ends","3.04e-54","1.77e-01",33,"R-HSA-1640170","Cell Cycle",3
"PPI-STRING_Consensus_mod77","R-HSA-427359","SIRT1 negatively regulates rRNA expression","1.10e-52","5.58e-02",37,"R-HSA-74160","Gene expression (Transcription)",3
"PPI-STRING_Consensus_mod77","R-HSA-5689880","Ub-specific processing proteases","9.76e-42","7.03e-03",205,"R-HSA-392499","Metabolism of proteins",3
"PPI-STRING_Consensus_mod78","GO:0005923","bicellular tight junction","8.86e-49","1.20e-02",123,"GO:0030054","cell junction",4
"PPI-STRING_Consensus_mod78","GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules","3.71e-54","5.98e-01",21,"GO:0022610","biological adhesion",5
"PPI-STRING_Consensus_mod78","R-HSA-420029","Tight junction interactions","2.41e-49","6.63e-02",30,"R-HSA-1500931","Cell-Cell communication",3
"PPI-STRING_Consensus_mod79","GO:0034237","protein kinase A regulatory subunit binding","8.01e-09","8.04e-02",19,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod79","GO:0043522","leucine zipper domain binding","7.82e-04","2.05e-02",11,"GO:0005488","binding",5
"PPI-STRING_Consensus_mod79","GO:0035497","cAMP response element binding","2.99e-14","2.06e-01",14,"GO:0005488","binding",9
"PPI-STRING_Consensus_mod79","GO:0005977","glycogen metabolic process","6.59e-08","7.27e-02",28,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod79","GO:0004691","cAMP-dependent protein kinase activity","6.90e-09","1.95e-01",7,"GO:0003824#GO:0060089","catalytic activity#molecular transducer activity",3
"PPI-STRING_Consensus_mod79","R-HSA-199920","CREB phosphorylation","3.02e-04","3.17e-02",7,"R-HSA-162582#R-HSA-168256","Signal Transduction#Immune System",5
"PPI-STRING_Consensus_mod79","R-HSA-442720","CREB phosphorylation through the activation of Adenylate Cyclase","6.90e-09","1.41e-01",7,"R-HSA-112316","Neuronal System",5
"PPI-STRING_Consensus_mod79","R-HSA-8874211","CREB3 factors activate genes","2.12e-13","3.53e-01",9,"R-HSA-392499","Metabolism of proteins",2
"PPI-STRING_Consensus_mod79","R-HSA-1296052","Ca2+ activated K+ channels","5.14e-04","3.49e-02",9,"R-HSA-112316","Neuronal System",2
"PPI-STRING_Consensus_mod79","R-HSA-2025928","Calcineurin activates NFAT","1.88e-06","2.15e-01",7,"R-HSA-168256","Immune System",4
"PPI-STRING_Consensus_mod79","R-HSA-5683177","Defective ABCC8 can cause hypoglycemias and hyperglycemias","7.67e-03","1.21e-01",2,"R-HSA-1643685","Disease",3
"PPI-STRING_Consensus_mod79","R-HSA-2160916","Hyaluronan uptake and degradation","9.36e-04","1.26e-02",12,"R-HSA-1430728","Metabolism",4
"PPI-STRING_Consensus_mod79","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","5.05e-06","2.58e-03",30,"R-HSA-168256","Immune System",5
"PPI-STRING_Consensus_mod79","R-HSA-165160","PDE3B signalling","7.67e-03","6.94e-02",2,"R-HSA-162582","Signal Transduction",7
"PPI-STRING_Consensus_mod79","R-HSA-163358","PKA-mediated phosphorylation of key metabolic factors","5.39e-07","3.72e-02",5,"R-HSA-1430728","Metabolism",2
"PPI-STRING_Consensus_mod79","R-HSA-109703","PKB-mediated events","7.67e-03","4.84e-02",2,"R-HSA-162582","Signal Transduction",6
"PPI-STRING_Consensus_mod79","R-HSA-392517","Rap1 signalling","1.98e-11","1.51e-01",16,"R-HSA-168256","Immune System",2
"PPI-STRING_Consensus_mod79","R-HSA-418457","cGMP effects","4.24e-05","1.54e-02",18,"R-HSA-109582","Hemostasis",3
"PPI-STRING_Consensus_mod80","GO:0006644","phospholipid metabolic process","1.98e-38","8.89e-03",63,"GO:0008152#GO:0009987","metabolic process#cellular process",4
"PPI-STRING_Consensus_mod80","GO:0004623","phospholipase A2 activity","8.79e-46","9.08e-02",33,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod80","GO:0016042","lipid catabolic process","5.64e-31","3.14e-02",84,"GO:0008152","metabolic process",4
"PPI-STRING_Consensus_mod80","GO:0019372","lipoxygenase pathway","6.76e-13","2.87e-02",14,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod80","GO:0050473","arachidonate 15-lipoxygenase activity","1.68e-08","4.74e-01",3,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod80","GO:0036150","phosphatidylserine acyl-chain remodeling","7.30e-36","9.64e-03",21,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod80","GO:0036151","phosphatidylcholine acyl-chain remodeling","6.68e-52","1.25e-01",27,"GO:0008152#GO:0009987","metabolic process#cellular process",5
"PPI-STRING_Consensus_mod80","GO:0004052","arachidonate 12-lipoxygenase activity","1.68e-08","4.74e-01",3,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod80","GO:0004622","lysophospholipase activity","5.80e-21","1.38e-02",23,"GO:0003824","catalytic activity",5
"PPI-STRING_Consensus_mod80","GO:0047498","calcium-dependent phospholipase A2 activity","2.17e-39","2.45e-01",16,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod80","GO:0047144","2-acylglycerol-3-phosphate O-acyltransferase activity","1.23e-11","1.42e-01",9,"GO:0003824","catalytic activity",6
"PPI-STRING_Consensus_mod80","R-HSA-1482788","Acyl chain remodelling of PC","1.49e-52","2.18e-01",26,"R-HSA-1430728","Metabolism",4
